Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
carnavalluiza.online,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
steverossiter.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
bisea00bo.biseaabo.repl.co,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,1
reverent-archimedes.45-81-232-18.plesk.page,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
secure-runescape.xgm.rnp.mybluehost.me,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1
yoga4you.com.au,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1
gabihazut.co.il,0,0,0,2,0,0,1,0,0,1,0,0,1,1,0,1
trackztrayce.com,0,0,0,2,0,0,0,0,0,0,1,1,1,1,1,1
outlook-web-97b48.web.app,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1
oxoxun.link,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1
vesper-ai.com,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1
secure.theawakeningofanangel.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
bamrrserva.breservando.repl.co,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
us-east4-black-octagon-376806.cloudfunctions.net,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1
constablerice.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1
maryannmoise.com,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1
files-secure-folder.ansimapreg.workers.dev,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1
caisseing-be.firebaseapp.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1
bancsdfa23.banca2423.repl.co,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
ju-109060.weeblysite.com,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1
dev-uysxpecyr.pantheonsite.io,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1
